company,bean_origin_bar,ref,review_year,company_location,rating,bean_type,broad_bean_origin,cocoa_percent_clean,rating_outlier,cocoa_percent_clean_outlier,premium_flag,cocoa_category,brand_avg_rating,brand_tier,origin_avg_rating,origin_score,premium_origin_flag,rating_segment,company_region,cluster,cluster_label
A. Morin,Chuao,1015,2013,France,4.0,Trinitario,Venezuela,70.0,False,False,True,Medium (60-75%),3.380434782608696,Standard,3.2453271028037385,62.3,True,Outstanding,Europe,0,Premium
A. Morin,Piura,1019,2013,France,3.25,,Peru,70.0,False,False,False,Medium (60-75%),3.380434782608696,Standard,3.137878787878788,56.9,False,Good,Europe,0,Premium
A. Morin,Chanchamayo Province,1019,2013,France,3.5,,Peru,70.0,False,False,True,Medium (60-75%),3.380434782608696,Standard,3.137878787878788,56.9,False,Good,Europe,0,Premium
A. Morin,Chanchamayo Province,1019,2013,France,4.0,,Peru,63.0,False,False,True,Medium (60-75%),3.380434782608696,Standard,3.137878787878788,56.9,False,Outstanding,Europe,0,Premium
A. Morin,Bolivia,797,2012,France,3.5,,Bolivia,70.0,False,False,True,Medium (60-75%),3.380434782608696,Standard,3.1973684210526314,59.9,False,Good,Europe,0,Premium
A. Morin,Peru,797,2012,France,3.75,,Peru,63.0,False,False,True,Medium (60-75%),3.380434782608696,Standard,3.137878787878788,56.9,False,Outstanding,Europe,1,Mass Market
Acalli,"Chulucanas, El Platanal",1462,2015,USA,3.75,,Peru,70.0,False,False,True,Medium (60-75%),3.75,Elite,3.137878787878788,56.9,False,Outstanding,North America,0,Premium
Acalli,"Tumbes, Norandino",1470,2015,USA,3.75,Criollo,Peru,70.0,False,False,True,Medium (60-75%),3.75,Elite,3.137878787878788,56.9,False,Outstanding,North America,0,Premium
Adi,Vanua Levu,705,2011,Fiji,2.75,Trinitario,Fiji,60.0,False,False,False,Medium (60-75%),3.25,Standard,3.125,56.2,False,Average,Other,1,Mass Market
Adi,"Vanua Levu, Toto-A",705,2011,Fiji,3.25,Trinitario,Fiji,80.0,False,False,False,High (>75%),3.25,Standard,3.125,56.2,False,Good,Other,2,Experimental
Adi,Vanua Levu,705,2011,Fiji,3.5,Trinitario,Fiji,88.0,False,False,True,High (>75%),3.25,Standard,3.125,56.2,False,Good,Other,2,Experimental
Adi,"Vanua Levu, Ami-Ami-Ca",705,2011,Fiji,3.5,Trinitario,Fiji,72.0,False,False,True,Medium (60-75%),3.25,Standard,3.125,56.2,False,Good,Other,1,Mass Market
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,Ecuador,2.75,Forastero (Arriba),Ecuador,55.0,False,False,False,Low (<60%),2.875,Low-Rated,3.134715025906736,56.7,False,Average,South America,1,Mass Market
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,Ecuador,3.0,Forastero (Arriba),Ecuador,70.0,False,False,False,Medium (60-75%),2.875,Low-Rated,3.134715025906736,56.7,False,Average,South America,1,Mass Market
Ah Cacao,Tabasco,316,2009,Mexico,3.0,Criollo,Mexico,70.0,False,False,False,Medium (60-75%),3.0,Standard,3.0083333333333333,50.4,False,Average,North America,1,Mass Market
Akesson'S (Pralus),"Bali (West), Sukrama Family, Melaya Area",636,2011,Switzerland,3.75,Trinitario,Indonesia,75.0,False,False,True,Medium (60-75%),3.083333333333333,Standard,3.1875,59.4,False,Outstanding,Europe,1,Mass Market
Akesson'S (Pralus),"Madagascar, Ambolikapiky P.",502,2010,Switzerland,2.75,Criollo,Madagascar,75.0,False,False,False,Medium (60-75%),3.083333333333333,Standard,3.2655172413793103,63.3,True,Average,Europe,2,Experimental
Akesson'S (Pralus),"Monte Alegre, D. Badero",508,2010,Switzerland,2.75,Forastero,Brazil,75.0,False,False,False,Medium (60-75%),3.083333333333333,Standard,3.284482758620689,64.2,True,Average,Europe,2,Experimental
Alain Ducasse,Trinite,1215,2014,France,2.75,Trinitario,Trinidad,65.0,False,False,False,Medium (60-75%),2.7,Low-Rated,3.2045454545454546,60.2,False,Average,Europe,0,Premium
Alain Ducasse,Vietnam,1215,2014,France,2.75,Trinitario,Vietnam,75.0,False,False,False,Medium (60-75%),2.7,Low-Rated,3.3157894736842106,65.8,True,Average,Europe,2,Experimental
Alain Ducasse,Madagascar,1215,2014,France,3.0,Trinitario,Madagascar,75.0,False,False,False,Medium (60-75%),2.7,Low-Rated,3.2655172413793103,63.3,True,Average,Europe,0,Premium
Alain Ducasse,Chuao,1061,2013,France,2.5,Trinitario,Venezuela,75.0,False,False,False,Medium (60-75%),2.7,Low-Rated,3.2453271028037385,62.3,True,Below Average,Europe,2,Experimental
Alain Ducasse,"Piura, Perou",1173,2013,France,2.5,,Peru,75.0,False,False,False,Medium (60-75%),2.7,Low-Rated,3.137878787878788,56.9,False,Below Average,Europe,2,Experimental
Alexandre,"Winak Coop, Napo",1944,2017,Netherlands,3.5,Forastero (Nacional),Ecuador,70.0,False,False,True,Medium (60-75%),3.5,Elite,3.134715025906736,56.7,False,Good,Europe,0,Premium
Alexandre,"La Dalia, Matagalpa",1944,2017,Netherlands,3.5,"Criollo, Trinitario",Nicaragua,70.0,False,False,True,Medium (60-75%),3.5,Elite,3.2,60.0,False,Good,Europe,0,Premium
Alexandre,Tien Giang,1944,2017,Netherlands,3.5,Trinitario,Vietnam,70.0,False,False,True,Medium (60-75%),3.5,Elite,3.3157894736842106,65.8,True,Good,Europe,0,Premium
Alexandre,"Makwale Village, Kyela",1944,2017,Netherlands,3.5,Forastero,Tanzania,70.0,False,False,True,Medium (60-75%),3.5,Elite,3.2058823529411766,60.3,False,Good,Europe,0,Premium
Altus Aka Cao Artisan,Momotombo,1728,2016,USA,2.75,,Nicaragua,60.0,False,False,False,Medium (60-75%),2.85,Low-Rated,3.2,60.0,False,Average,North America,0,Premium
Altus Aka Cao Artisan,Acopagro,1728,2016,USA,3.0,,Peru,60.0,False,False,False,Medium (60-75%),2.85,Low-Rated,3.137878787878788,56.9,False,Average,North America,0,Premium
Altus Aka Cao Artisan,Ciaab Coop,1732,2016,USA,2.5,,Bolivia,60.0,False,False,False,Medium (60-75%),2.85,Low-Rated,3.1973684210526314,59.9,False,Below Average,North America,0,Premium
Altus Aka Cao Artisan,Villa Andina,1732,2016,USA,2.5,,Peru,60.0,False,False,False,Medium (60-75%),2.85,Low-Rated,3.137878787878788,56.9,False,Below Average,North America,0,Premium
Altus Aka Cao Artisan,Gruppo Salinas,1732,2016,USA,2.75,,Ecuador,60.0,False,False,False,Medium (60-75%),2.85,Low-Rated,3.134715025906736,56.7,False,Average,North America,0,Premium
Altus Aka Cao Artisan,Sur Del Lago,1125,2013,USA,2.5,,Venezuela,60.0,False,False,False,Medium (60-75%),2.85,Low-Rated,3.2453271028037385,62.3,True,Below Average,North America,0,Premium
Altus Aka Cao Artisan,Conacado,1125,2013,USA,3.0,Trinitario,Dominican Republic,60.0,False,False,False,Medium (60-75%),2.85,Low-Rated,3.2063253012048194,60.3,False,Average,North America,0,Premium
Altus Aka Cao Artisan,Bolivia,1129,2013,USA,3.25,,Bolivia,80.0,False,False,False,High (>75%),2.85,Low-Rated,3.1973684210526314,59.9,False,Good,North America,2,Experimental
Altus Aka Cao Artisan,Bolivia,1133,2013,USA,3.0,,Bolivia,60.0,False,False,False,Medium (60-75%),2.85,Low-Rated,3.1973684210526314,59.9,False,Average,North America,0,Premium
Altus Aka Cao Artisan,Peru,1133,2013,USA,3.25,,Peru,60.0,False,False,False,Medium (60-75%),2.85,Low-Rated,3.137878787878788,56.9,False,Good,North America,0,Premium
Amano,Morobe,725,2011,USA,4.0,,Papua New Guinea,70.0,False,False,True,Medium (60-75%),3.4166666666666665,Elite,3.2916666666666665,64.6,True,Outstanding,North America,1,Mass Market
Amano,Dos Rios,470,2010,USA,3.75,,Dominican Republic,70.0,False,False,True,Medium (60-75%),3.4166666666666665,Elite,3.2063253012048194,60.3,False,Outstanding,North America,1,Mass Market
Amano,Guayas,470,2010,USA,4.0,,Ecuador,70.0,False,False,True,Medium (60-75%),3.4166666666666665,Elite,3.134715025906736,56.7,False,Outstanding,North America,1,Mass Market
Amano,Chuao,544,2010,USA,3.0,Trinitario,Venezuela,70.0,False,False,False,Medium (60-75%),3.4166666666666665,Elite,3.2453271028037385,62.3,True,Average,North America,1,Mass Market
Amano,Montanya,363,2009,USA,3.0,,Venezuela,70.0,False,False,False,Medium (60-75%),3.4166666666666665,Elite,3.2453271028037385,62.3,True,Average,North America,1,Mass Market
Amano,"Bali, Jembrana",304,2008,USA,2.75,,Indonesia,70.0,False,False,False,Medium (60-75%),3.4166666666666665,Elite,3.1875,59.4,False,Average,North America,1,Mass Market
Amano,Madagascar,129,2007,USA,3.5,Trinitario,Madagascar,70.0,False,False,True,Medium (60-75%),3.4166666666666665,Elite,3.2655172413793103,63.3,True,Good,North America,1,Mass Market
Amano,Cuyagua,147,2007,USA,3.0,,Venezuela,70.0,False,False,False,Medium (60-75%),3.4166666666666665,Elite,3.2453271028037385,62.3,True,Average,North America,1,Mass Market
Amano,Ocumare,175,2007,USA,3.75,Criollo,Venezuela,70.0,False,False,True,Medium (60-75%),3.4166666666666665,Elite,3.2453271028037385,62.3,True,Outstanding,North America,1,Mass Market
Amatller (Simon Coll),Ghana,322,2009,Spain,3.0,Forastero,Ghana,70.0,False,False,False,Medium (60-75%),2.875,Low-Rated,3.090909090909091,54.5,False,Average,Europe,1,Mass Market
Amatller (Simon Coll),Ecuador,327,2009,Spain,2.75,,Ecuador,70.0,False,False,False,Medium (60-75%),2.875,Low-Rated,3.134715025906736,56.7,False,Average,Europe,1,Mass Market
Amatller (Simon Coll),Ecuador,464,2009,Spain,2.75,,Ecuador,85.0,False,False,False,High (>75%),2.875,Low-Rated,3.134715025906736,56.7,False,Average,Europe,2,Experimental
Amatller (Simon Coll),Ghana,464,2009,Spain,3.0,Forastero,Ghana,85.0,False,False,False,High (>75%),2.875,Low-Rated,3.090909090909091,54.5,False,Average,Europe,2,Experimental
Amazona,"Lamasdelchanka, San Martin, Oro Verde Coop",1145,2013,Peru,3.25,,Peru,72.0,False,False,False,Medium (60-75%),3.375,Standard,3.137878787878788,56.9,False,Good,South America,0,Premium
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,Peru,3.5,Trinitario,Peru,73.0,False,False,True,Medium (60-75%),3.375,Standard,3.137878787878788,56.9,False,Good,South America,0,Premium
Ambrosia,Belize,1494,2015,Canada,3.0,Trinitario,Belize,64.0,False,False,False,Medium (60-75%),3.25,Standard,3.2346938775510203,61.7,False,Average,North America,0,Premium
Ambrosia,Madagascar,1494,2015,Canada,3.25,Trinitario,Madagascar,66.0,False,False,False,Medium (60-75%),3.25,Standard,3.2655172413793103,63.3,True,Good,North America,0,Premium
Ambrosia,Dominican Republic,1498,2015,Canada,3.25,,Dominican Republic,75.0,False,False,False,Medium (60-75%),3.25,Standard,3.2063253012048194,60.3,False,Good,North America,0,Premium
Ambrosia,Papua New Guinea,1498,2015,Canada,3.25,,Papua New Guinea,63.0,False,False,False,Medium (60-75%),3.25,Standard,3.2916666666666665,64.6,True,Good,North America,0,Premium
Ambrosia,Venezuela,1498,2015,Canada,3.25,,Venezuela,70.0,False,False,False,Medium (60-75%),3.25,Standard,3.2453271028037385,62.3,True,Good,North America,0,Premium
Ambrosia,Peru,1498,2015,Canada,3.5,,Peru,68.0,False,False,True,Medium (60-75%),3.25,Standard,3.137878787878788,56.9,False,Good,North America,0,Premium
Amedei,"Piura, Blanco De Criollo",979,2012,Italy,3.75,,Peru,70.0,False,False,True,Medium (60-75%),3.8461538461538463,Elite,3.137878787878788,56.9,False,Outstanding,Europe,0,Premium
Amedei,Porcelana,111,2007,Italy,4.0,Criollo (Porcelana),Venezuela,70.0,False,False,True,Medium (60-75%),3.8461538461538463,Elite,3.2453271028037385,62.3,True,Outstanding,Europe,1,Mass Market
Amedei,Nine,111,2007,Italy,4.0,Blend,,75.0,False,False,True,Medium (60-75%),3.8461538461538463,Elite,,,False,Outstanding,Europe,1,Mass Market
Amedei,Chuao,111,2007,Italy,5.0,Trinitario,Venezuela,70.0,False,False,True,Medium (60-75%),3.8461538461538463,Elite,3.2453271028037385,62.3,True,Outstanding,Europe,1,Mass Market
Amedei,Ecuador,123,2007,Italy,3.0,Trinitario,Ecuador,70.0,False,False,False,Medium (60-75%),3.8461538461538463,Elite,3.134715025906736,56.7,False,Average,Europe,1,Mass Market
Amedei,Jamaica,123,2007,Italy,3.0,Trinitario,Jamaica,70.0,False,False,False,Medium (60-75%),3.8461538461538463,Elite,3.1625,58.1,False,Average,Europe,1,Mass Market
Amedei,Grenada,123,2007,Italy,3.5,Trinitario,Grenada,70.0,False,False,True,Medium (60-75%),3.8461538461538463,Elite,3.026315789473684,51.3,False,Good,Europe,1,Mass Market
Amedei,Venezuela,123,2007,Italy,3.75,Trinitario (85% Criollo),Venezuela,70.0,False,False,True,Medium (60-75%),3.8461538461538463,Elite,3.2453271028037385,62.3,True,Outstanding,Europe,1,Mass Market
Amedei,Madagascar,123,2007,Italy,4.0,Trinitario (85% Criollo),Madagascar,70.0,False,False,True,Medium (60-75%),3.8461538461538463,Elite,3.2655172413793103,63.3,True,Outstanding,Europe,1,Mass Market
Amedei,Trinidad,129,2007,Italy,3.5,Trinitario,Trinidad,70.0,False,False,True,Medium (60-75%),3.8461538461538463,Elite,3.2045454545454546,60.2,False,Good,Europe,1,Mass Market
Amedei,Toscano Black,170,2007,Italy,3.5,Blend,,63.0,False,False,True,Medium (60-75%),3.8461538461538463,Elite,,,False,Good,Europe,1,Mass Market
Amedei,Toscano Black,40,2006,Italy,5.0,Blend,,70.0,False,False,True,Medium (60-75%),3.8461538461538463,Elite,,,False,Outstanding,Europe,1,Mass Market
Amedei,Toscano Black,75,2006,Italy,4.0,Blend,,66.0,False,False,True,Medium (60-75%),3.8461538461538463,Elite,,,False,Outstanding,Europe,1,Mass Market
Amma,Catongo,1065,2013,Brazil,3.25,Forastero (Catongo),Brazil,75.0,False,False,False,Medium (60-75%),3.5,Elite,3.284482758620689,64.2,True,Good,South America,0,Premium
Amma,"Monte Alegre, 3 Diff. Plantations",572,2010,Brazil,2.75,Forastero (Parazinho),Brazil,85.0,False,False,False,High (>75%),3.5,Elite,3.284482758620689,64.2,True,Average,South America,2,Experimental
Amma,"Monte Alegre, 3 Diff. Plantations",572,2010,Brazil,3.75,Forastero (Parazinho),Brazil,50.0,False,True,True,Low (<60%),3.5,Elite,3.284482758620689,64.2,True,Outstanding,South America,1,Mass Market
Amma,"Monte Alegre, 3 Diff. Plantations",572,2010,Brazil,3.75,Forastero (Parazinho),Brazil,75.0,False,False,True,Medium (60-75%),3.5,Elite,3.284482758620689,64.2,True,Outstanding,South America,1,Mass Market
Amma,"Monte Alegre, 3 Diff. Plantations",572,2010,Brazil,4.0,Forastero (Parazinho),Brazil,60.0,False,False,True,Medium (60-75%),3.5,Elite,3.284482758620689,64.2,True,Outstanding,South America,1,Mass Market
Anahata,Elvesia,1259,2014,USA,3.0,,Dominican Republic,75.0,False,False,False,Medium (60-75%),3.0,Standard,3.2063253012048194,60.3,False,Average,North America,0,Premium
Animas,Alto Beni,1852,2016,USA,3.5,,Bolivia,75.0,False,False,True,Medium (60-75%),3.5,Elite,3.1973684210526314,59.9,False,Good,North America,0,Premium
Ara,Madagascar,1375,2014,France,3.0,Trinitario,Madagascar,75.0,False,False,False,Medium (60-75%),2.8125,Low-Rated,3.2655172413793103,63.3,True,Average,Europe,0,Premium
Ara,Chiapas,1379,2014,France,2.5,,Mexico,72.0,False,False,False,Medium (60-75%),2.8125,Low-Rated,3.0083333333333333,50.4,False,Below Average,Europe,2,Experimental
Ara,Equateur,1379,2014,France,2.75,,Ecuador,75.0,False,False,False,Medium (60-75%),2.8125,Low-Rated,3.134715025906736,56.7,False,Average,Europe,2,Experimental
Ara,Trincheras,1379,2014,France,3.0,,Venezuela,75.0,False,False,False,Medium (60-75%),2.8125,Low-Rated,3.2453271028037385,62.3,True,Average,Europe,0,Premium
Arete,San Juan,1724,2016,USA,3.5,Trinitario,Trinidad,70.0,False,False,True,Medium (60-75%),3.534090909090909,Elite,3.2045454545454546,60.2,False,Good,North America,0,Premium
Arete,Kokoa Kamili,1724,2016,USA,3.75,,Tanzania,70.0,False,False,True,Medium (60-75%),3.534090909090909,Elite,3.2058823529411766,60.3,False,Outstanding,North America,0,Premium
Arete,Tien Giang,1900,2016,USA,3.5,Trinitario,Vietnam,73.0,False,False,True,Medium (60-75%),3.534090909090909,Elite,3.3157894736842106,65.8,True,Good,North America,0,Premium
Arete,Hacienda Victoria,1904,2016,USA,3.25,,Ecuador,70.0,False,False,False,Medium (60-75%),3.534090909090909,Elite,3.134715025906736,56.7,False,Good,North America,0,Premium
Arete,Costa Esmeraldas,1904,2016,USA,3.25,,Ecuador,70.0,False,False,False,Medium (60-75%),3.534090909090909,Elite,3.134715025906736,56.7,False,Good,North America,0,Premium
Arete,Lachua,1904,2016,USA,3.5,,Guatemala,70.0,False,False,True,Medium (60-75%),3.534090909090909,Elite,3.321428571428572,66.1,True,Good,North America,0,Premium
Arete,Rugoso,1904,2016,USA,3.75,,Nicaragua,70.0,False,False,True,Medium (60-75%),3.534090909090909,Elite,3.2,60.0,False,Outstanding,North America,0,Premium
Arete,"La Masica, Fhia",1908,2016,USA,3.5,,Honduras,70.0,False,False,True,Medium (60-75%),3.534090909090909,Elite,3.35,67.5,True,Good,North America,0,Premium
Arete,"Coto Brus, Terciopelo",1908,2016,USA,4.0,,Costa Rica,70.0,False,False,True,Medium (60-75%),3.534090909090909,Elite,3.1447368421052637,57.2,False,Outstanding,North America,0,Premium
Arete,Phantom,1924,2016,USA,4.0,Forastero (Nacional),Peru,70.0,False,False,True,Medium (60-75%),3.534090909090909,Elite,3.137878787878788,56.9,False,Outstanding,North America,0,Premium
Arete,Elvesia,1928,2016,USA,3.75,,Dominican Republic,70.0,False,False,True,Medium (60-75%),3.534090909090909,Elite,3.2063253012048194,60.3,False,Outstanding,North America,0,Premium
Arete,Matasawalevu,1928,2016,USA,3.25,,Fiji,70.0,False,False,False,Medium (60-75%),3.534090909090909,Elite,3.125,56.2,False,Good,North America,0,Premium
Arete,Lam Dong,1928,2016,USA,3.25,,Vietnam,73.0,False,False,False,Medium (60-75%),3.534090909090909,Elite,3.3157894736842106,65.8,True,Good,North America,0,Premium
Arete,Fazenda Camboa,1534,2015,USA,3.5,,Brazil,70.0,False,False,True,Medium (60-75%),3.534090909090909,Elite,3.284482758620689,64.2,True,Good,North America,0,Premium
Arete,Nacional,1534,2015,USA,3.5,Forastero (Nacional),Peru,68.0,False,False,True,Medium (60-75%),3.534090909090909,Elite,3.137878787878788,56.9,False,Good,North America,0,Premium
Arete,"Puerto Quito, Heirloom",1534,2015,USA,3.75,Forastero (Nacional),Ecuador,70.0,False,False,True,Medium (60-75%),3.534090909090909,Elite,3.134715025906736,56.7,False,Outstanding,North America,0,Premium
Arete,Oko Caribe,1598,2015,USA,3.5,,Dominican Republic,70.0,False,False,True,Medium (60-75%),3.534090909090909,Elite,3.2063253012048194,60.3,False,Good,North America,0,Premium
Arete,Maya Mountain,1598,2015,USA,3.75,Trinitario,Belize,70.0,False,False,True,Medium (60-75%),3.534090909090909,Elite,3.2346938775510203,61.7,False,Outstanding,North America,0,Premium
Arete,Chuno,1598,2015,USA,4.0,"Criollo, Trinitario",Nicaragua,70.0,False,False,True,Medium (60-75%),3.534090909090909,Elite,3.2,60.0,False,Outstanding,North America,0,Premium
Arete,Fazenda Camboa,1602,2015,USA,2.75,,Brazil,75.0,False,False,False,Medium (60-75%),3.534090909090909,Elite,3.284482758620689,64.2,True,Average,North America,2,Experimental
Arete,Guatemala,1602,2015,USA,3.25,,Guatemala,70.0,False,False,False,Medium (60-75%),3.534090909090909,Elite,3.321428571428572,66.1,True,Good,North America,0,Premium
Arete,Camino Verde,1602,2015,USA,3.5,,Ecuador,75.0,False,False,True,Medium (60-75%),3.534090909090909,Elite,3.134715025906736,56.7,False,Good,North America,0,Premium
Artisan Du Chocolat,"Trinidad, Heritage, Limited Ed.",1193,2013,U.K.,3.25,Trinitario,Trinidad,72.0,False,False,False,Medium (60-75%),3.078125,Standard,3.2045454545454546,60.2,False,Good,Other,0,Premium
Artisan Du Chocolat,"Colombia, Casa Luker",947,2012,U.K.,3.75,,Colombia,72.0,False,False,True,Medium (60-75%),3.078125,Standard,3.225,61.3,False,Outstanding,Other,0,Premium
Artisan Du Chocolat,Haiti,729,2011,U.K.,4.0,,Haiti,72.0,False,False,True,Medium (60-75%),3.078125,Standard,3.388888888888889,69.4,True,Outstanding,Other,1,Mass Market
Artisan Du Chocolat,Panama,745,2011,U.K.,2.75,,Panama,72.0,False,False,False,Medium (60-75%),3.078125,Standard,3.1785714285714284,58.9,False,Average,Other,2,Experimental
Artisan Du Chocolat,Venezuela,486,2010,U.K.,1.75,,Venezuela,100.0,False,True,False,High (>75%),3.078125,Standard,3.2453271028037385,62.3,True,Poor,Other,2,Experimental
Artisan Du Chocolat,Jamaica,531,2010,U.K.,3.75,Trinitario,Jamaica,72.0,False,False,True,Medium (60-75%),3.078125,Standard,3.1625,58.1,False,Outstanding,Other,1,Mass Market
Artisan Du Chocolat,Costa Rica,600,2010,U.K.,3.25,,Costa Rica,72.0,False,False,False,Medium (60-75%),3.078125,Standard,3.1447368421052637,57.2,False,Good,Other,1,Mass Market
Artisan Du Chocolat,Ba Ria Vung Tau Province,600,2010,U.K.,3.25,Trinitario,Vietnam,72.0,False,False,False,Medium (60-75%),3.078125,Standard,3.3157894736842106,65.8,True,Good,Other,1,Mass Market
Artisan Du Chocolat,Bali,600,2010,U.K.,3.5,,Indonesia,72.0,False,False,True,Medium (60-75%),3.078125,Standard,3.1875,59.4,False,Good,Other,1,Mass Market
Artisan Du Chocolat,"Ocumare, Venezuela",355,2009,U.K.,2.5,"Criollo, Trinitario",Venezuela,75.0,False,False,False,Medium (60-75%),3.078125,Standard,3.2453271028037385,62.3,True,Below Average,Other,2,Experimental
Artisan Du Chocolat,Java,355,2009,U.K.,2.75,Trinitario,Indonesia,72.0,False,False,False,Medium (60-75%),3.078125,Standard,3.1875,59.4,False,Average,Other,1,Mass Market
Artisan Du Chocolat,Brazil Rio Doce,363,2009,U.K.,1.75,,Brazil,72.0,False,False,False,Medium (60-75%),3.078125,Standard,3.284482758620689,64.2,True,Poor,Other,2,Experimental
Artisan Du Chocolat,Madagascar,363,2009,U.K.,3.0,"Criollo, Trinitario",Madagascar,80.0,False,False,False,High (>75%),3.078125,Standard,3.2655172413793103,63.3,True,Average,Other,2,Experimental
Artisan Du Chocolat,Peru,363,2009,U.K.,3.0,Criollo,Peru,75.0,False,False,False,Medium (60-75%),3.078125,Standard,3.137878787878788,56.9,False,Average,Other,1,Mass Market
Artisan Du Chocolat,Dominican Republic,363,2009,U.K.,3.25,Trinitario,Dominican Republic,72.0,False,False,False,Medium (60-75%),3.078125,Standard,3.2063253012048194,60.3,False,Good,Other,1,Mass Market
Artisan Du Chocolat,Congo,300,2008,U.K.,3.75,Forastero,Dr Congo,72.0,False,False,True,Medium (60-75%),3.078125,Standard,3.325,66.3,True,Outstanding,Other,1,Mass Market
Artisan Du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,U.K.,2.75,Trinitario,Colombia,72.0,False,False,False,Medium (60-75%),2.75,Low-Rated,3.225,61.3,False,Average,Other,2,Experimental
Askinosie,Mababa,1780,2016,USA,3.75,Trinitario,Tanzania,68.0,False,False,True,Medium (60-75%),3.4166666666666665,Elite,3.2058823529411766,60.3,False,Outstanding,North America,0,Premium
Askinosie,"Tenende, Uwate",647,2011,USA,3.75,Trinitario,Tanzania,72.0,False,False,True,Medium (60-75%),3.4166666666666665,Elite,3.2058823529411766,60.3,False,Outstanding,North America,1,Mass Market
Askinosie,Cortes,661,2011,USA,3.75,Trinitario,Honduras,70.0,False,False,True,Medium (60-75%),3.4166666666666665,Elite,3.35,67.5,True,Outstanding,North America,1,Mass Market
Askinosie,Davao,331,2009,USA,3.75,Trinitario,Philippines,77.0,False,False,True,High (>75%),3.4166666666666665,Elite,3.0,50.0,False,Outstanding,North America,1,Mass Market
Askinosie,Xoconusco,141,2007,USA,2.5,Trinitario,Mexico,75.0,False,False,False,Medium (60-75%),3.4166666666666665,Elite,3.0083333333333333,50.4,False,Below Average,North America,2,Experimental
