company,bean_origin_bar,ref,review_year,company_location,rating,bean_type,broad_bean_origin,cocoa_percent_clean,rating_outlier,cocoa_percent_clean_outlier
Alain Ducasse,"Piura, Perou",1173,2013,France,2.5,,Peru,75.0,False,False
Alexandre,"Winak Coop, Napo",1944,2017,Netherlands,3.5,Forastero (Nacional),Ecuador,70.0,False,False
Alexandre,"La Dalia, Matagalpa",1944,2017,Netherlands,3.5,"Criollo, Trinitario",Nicaragua,70.0,False,False
Alexandre,Tien Giang,1944,2017,Netherlands,3.5,Trinitario,Vietnam,70.0,False,False
Alexandre,"Makwale Village, Kyela",1944,2017,Netherlands,3.5,Forastero,Tanzania,70.0,False,False
Altus Aka Cao Artisan,Momotombo,1728,2016,USA,2.75,,Nicaragua,60.0,False,False
Altus Aka Cao Artisan,Acopagro,1728,2016,USA,3.0,,Peru,60.0,False,False
Altus Aka Cao Artisan,Ciaab Coop,1732,2016,USA,2.5,,Bolivia,60.0,False,False
Altus Aka Cao Artisan,Villa Andina,1732,2016,USA,2.5,,Peru,60.0,False,False
Altus Aka Cao Artisan,Gruppo Salinas,1732,2016,USA,2.75,,Ecuador,60.0,False,False
Altus Aka Cao Artisan,Sur Del Lago,1125,2013,USA,2.5,,Venezuela,60.0,False,False
Altus Aka Cao Artisan,Conacado,1125,2013,USA,3.0,Trinitario,Dominican Republic,60.0,False,False
Altus Aka Cao Artisan,Bolivia,1129,2013,USA,3.25,,Bolivia,80.0,False,False
Altus Aka Cao Artisan,Bolivia,1133,2013,USA,3.0,,Bolivia,60.0,False,False
Altus Aka Cao Artisan,Peru,1133,2013,USA,3.25,,Peru,60.0,False,False
Amano,Morobe,725,2011,USA,4.0,,Papua New Guinea,70.0,False,False
Amano,Dos Rios,470,2010,USA,3.75,,Dominican Republic,70.0,False,False
Amano,Guayas,470,2010,USA,4.0,,Ecuador,70.0,False,False
Amano,Chuao,544,2010,USA,3.0,Trinitario,Venezuela,70.0,False,False
Amano,Montanya,363,2009,USA,3.0,,Venezuela,70.0,False,False
Amano,"Bali, Jembrana",304,2008,USA,2.75,,Indonesia,70.0,False,False
Amano,Madagascar,129,2007,USA,3.5,Trinitario,Madagascar,70.0,False,False
Amano,Cuyagua,147,2007,USA,3.0,,Venezuela,70.0,False,False
Amano,Ocumare,175,2007,USA,3.75,Criollo,Venezuela,70.0,False,False
Amatller (Simon Coll),Ghana,322,2009,Spain,3.0,Forastero,Ghana,70.0,False,False
Amatller (Simon Coll),Ecuador,327,2009,Spain,2.75,,Ecuador,70.0,False,False
Amatller (Simon Coll),Ecuador,464,2009,Spain,2.75,,Ecuador,85.0,False,False
Amatller (Simon Coll),Ghana,464,2009,Spain,3.0,Forastero,Ghana,85.0,False,False
Amazona,"Lamasdelchanka, San Martin, Oro Verde Coop",1145,2013,Peru,3.25,,Peru,72.0,False,False
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,Peru,3.5,Trinitario,Peru,73.0,False,False
Ambrosia,Belize,1494,2015,Canada,3.0,Trinitario,Belize,64.0,False,False
Ambrosia,Madagascar,1494,2015,Canada,3.25,Trinitario,Madagascar,66.0,False,False
Ambrosia,Dominican Republic,1498,2015,Canada,3.25,,Dominican Republic,75.0,False,False
Ambrosia,Papua New Guinea,1498,2015,Canada,3.25,,Papua New Guinea,63.0,False,False
Ambrosia,Venezuela,1498,2015,Canada,3.25,,Venezuela,70.0,False,False
Ambrosia,Peru,1498,2015,Canada,3.5,,Peru,68.0,False,False
Amedei,"Piura, Blanco De Criollo",979,2012,Italy,3.75,,Peru,70.0,False,False
Amedei,Porcelana,111,2007,Italy,4.0,Criollo (Porcelana),Venezuela,70.0,False,False
Amedei,Nine,111,2007,Italy,4.0,Blend,,75.0,False,False
Amedei,Chuao,111,2007,Italy,5.0,Trinitario,Venezuela,70.0,False,False
Amedei,Ecuador,123,2007,Italy,3.0,Trinitario,Ecuador,70.0,False,False
Amedei,Jamaica,123,2007,Italy,3.0,Trinitario,Jamaica,70.0,False,False
Amedei,Grenada,123,2007,Italy,3.5,Trinitario,Grenada,70.0,False,False
Amedei,Venezuela,123,2007,Italy,3.75,Trinitario (85% Criollo),Venezuela,70.0,False,False
Amedei,Madagascar,123,2007,Italy,4.0,Trinitario (85% Criollo),Madagascar,70.0,False,False
Amedei,Trinidad,129,2007,Italy,3.5,Trinitario,Trinidad,70.0,False,False
Amedei,Toscano Black,170,2007,Italy,3.5,Blend,,63.0,False,False
Amedei,Toscano Black,40,2006,Italy,5.0,Blend,,70.0,False,False
Amedei,Toscano Black,75,2006,Italy,4.0,Blend,,66.0,False,False
Amma,Catongo,1065,2013,Brazil,3.25,Forastero (Catongo),Brazil,75.0,False,False
Amma,"Monte Alegre, 3 Diff. Plantations",572,2010,Brazil,2.75,Forastero (Parazinho),Brazil,85.0,False,False
Amma,"Monte Alegre, 3 Diff. Plantations",572,2010,Brazil,3.75,Forastero (Parazinho),Brazil,50.0,False,True
Amma,"Monte Alegre, 3 Diff. Plantations",572,2010,Brazil,3.75,Forastero (Parazinho),Brazil,75.0,False,False
Amma,"Monte Alegre, 3 Diff. Plantations",572,2010,Brazil,4.0,Forastero (Parazinho),Brazil,60.0,False,False
Anahata,Elvesia,1259,2014,USA,3.0,,Dominican Republic,75.0,False,False
Animas,Alto Beni,1852,2016,USA,3.5,,Bolivia,75.0,False,False
Ara,Madagascar,1375,2014,France,3.0,Trinitario,Madagascar,75.0,False,False
Ara,Chiapas,1379,2014,France,2.5,,Mexico,72.0,False,False
Ara,Equateur,1379,2014,France,2.75,,Ecuador,75.0,False,False
Ara,Trincheras,1379,2014,France,3.0,,Venezuela,75.0,False,False
Arete,San Juan,1724,2016,USA,3.5,Trinitario,Trinidad,70.0,False,False
Arete,Kokoa Kamili,1724,2016,USA,3.75,,Tanzania,70.0,False,False
Arete,Tien Giang,1900,2016,USA,3.5,Trinitario,Vietnam,73.0,False,False
Arete,Hacienda Victoria,1904,2016,USA,3.25,,Ecuador,70.0,False,False
Arete,Costa Esmeraldas,1904,2016,USA,3.25,,Ecuador,70.0,False,False
Arete,Lachua,1904,2016,USA,3.5,,Guatemala,70.0,False,False
Arete,Rugoso,1904,2016,USA,3.75,,Nicaragua,70.0,False,False
Arete,"La Masica, Fhia",1908,2016,USA,3.5,,Honduras,70.0,False,False
Arete,"Coto Brus, Terciopelo",1908,2016,USA,4.0,,Costa Rica,70.0,False,False
Arete,Phantom,1924,2016,USA,4.0,Forastero (Nacional),Peru,70.0,False,False
Arete,Elvesia,1928,2016,USA,3.75,,Dominican Republic,70.0,False,False
Arete,Matasawalevu,1928,2016,USA,3.25,,Fiji,70.0,False,False
Arete,Lam Dong,1928,2016,USA,3.25,,Vietnam,73.0,False,False
Arete,Fazenda Camboa,1534,2015,USA,3.5,,Brazil,70.0,False,False
Arete,Nacional,1534,2015,USA,3.5,Forastero (Nacional),Peru,68.0,False,False
Arete,"Puerto Quito, Heirloom",1534,2015,USA,3.75,Forastero (Nacional),Ecuador,70.0,False,False
Arete,Oko Caribe,1598,2015,USA,3.5,,Dominican Republic,70.0,False,False
Arete,Maya Mountain,1598,2015,USA,3.75,Trinitario,Belize,70.0,False,False
Arete,Chuno,1598,2015,USA,4.0,"Criollo, Trinitario",Nicaragua,70.0,False,False
Arete,Fazenda Camboa,1602,2015,USA,2.75,,Brazil,75.0,False,False
Arete,Guatemala,1602,2015,USA,3.25,,Guatemala,70.0,False,False
Arete,Camino Verde,1602,2015,USA,3.5,,Ecuador,75.0,False,False
Artisan Du Chocolat,"Trinidad, Heritage, Limited Ed.",1193,2013,U.K.,3.25,Trinitario,Trinidad,72.0,False,False
Artisan Du Chocolat,"Colombia, Casa Luker",947,2012,U.K.,3.75,,Colombia,72.0,False,False
Artisan Du Chocolat,Haiti,729,2011,U.K.,4.0,,Haiti,72.0,False,False
Artisan Du Chocolat,Panama,745,2011,U.K.,2.75,,Panama,72.0,False,False
Artisan Du Chocolat,Venezuela,486,2010,U.K.,1.75,,Venezuela,100.0,False,True
Artisan Du Chocolat,Jamaica,531,2010,U.K.,3.75,Trinitario,Jamaica,72.0,False,False
Artisan Du Chocolat,Costa Rica,600,2010,U.K.,3.25,,Costa Rica,72.0,False,False
Artisan Du Chocolat,Ba Ria Vung Tau Province,600,2010,U.K.,3.25,Trinitario,Vietnam,72.0,False,False
Artisan Du Chocolat,Bali,600,2010,U.K.,3.5,,Indonesia,72.0,False,False
Artisan Du Chocolat,"Ocumare, Venezuela",355,2009,U.K.,2.5,"Criollo, Trinitario",Venezuela,75.0,False,False
Artisan Du Chocolat,Java,355,2009,U.K.,2.75,Trinitario,Indonesia,72.0,False,False
Artisan Du Chocolat,Brazil Rio Doce,363,2009,U.K.,1.75,,Brazil,72.0,False,False
Artisan Du Chocolat,Madagascar,363,2009,U.K.,3.0,"Criollo, Trinitario",Madagascar,80.0,False,False
Artisan Du Chocolat,Peru,363,2009,U.K.,3.0,Criollo,Peru,75.0,False,False
Artisan Du Chocolat,Dominican Republic,363,2009,U.K.,3.25,Trinitario,Dominican Republic,72.0,False,False
Artisan Du Chocolat,Congo,300,2008,U.K.,3.75,Forastero,Dr Congo,72.0,False,False
Artisan Du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,U.K.,2.75,Trinitario,Colombia,72.0,False,False
Askinosie,Mababa,1780,2016,USA,3.75,Trinitario,Tanzania,68.0,False,False
Askinosie,"Tenende, Uwate",647,2011,USA,3.75,Trinitario,Tanzania,72.0,False,False
Askinosie,Cortes,661,2011,USA,3.75,Trinitario,Honduras,70.0,False,False
Askinosie,Davao,331,2009,USA,3.75,Trinitario,Philippines,77.0,False,False
Askinosie,Xoconusco,141,2007,USA,2.5,Trinitario,Mexico,75.0,False,False
Askinosie,San Jose Del Tambo,175,2007,USA,3.0,Forastero (Arriba),Ecuador,70.0,False,False
Bahen & Co.,Houseblend,1474,2015,Australia,3.25,,,80.0,False,False
Bahen & Co.,Papua New Guinea,1474,2015,Australia,3.5,,Papua New Guinea,70.0,False,False
Bahen & Co.,Sambirano,995,2012,Australia,3.0,Trinitario,Madagascar,70.0,False,False
Bahen & Co.,Bahia,999,2012,Australia,2.5,,Brazil,70.0,False,False
Bahen & Co.,Houseblend,999,2012,Australia,2.5,Blend,,70.0,False,False
Bakau,"Bambamarca, 2015",1454,2015,Peru,2.75,,Peru,70.0,False,False
Bakau,"Huallabamba, 2015",1454,2015,Peru,3.5,,Peru,70.0,False,False
Bar Au Chocolat,Bahia,1554,2015,USA,3.5,,Brazil,70.0,False,False
Bar Au Chocolat,Maranon Canyon,1295,2014,USA,4.0,Forastero (Nacional),Peru,70.0,False,False
Bar Au Chocolat,Duarte Province,983,2012,USA,3.25,,Dominican Republic,70.0,False,False
Bar Au Chocolat,Chiapas,983,2012,USA,3.5,,Mexico,70.0,False,False
Bar Au Chocolat,Sambirano,983,2012,USA,3.75,Trinitario,Madagascar,70.0,False,False
Baravelli'S,Single Estate,955,2012,Wales,2.75,,Costa Rica,80.0,False,False
Batch,"Dominican Republic, Batch 3",1840,2016,USA,3.5,,Dominican Republic,65.0,False,False
Batch,Brazil,1868,2016,USA,3.75,,Brazil,70.0,False,False
Batch,Ecuador,1880,2016,USA,3.25,,Ecuador,65.0,False,False
Beau Cacao,"Asajaya E, Nw Borneo, B. #132/4500",1948,2017,U.K.,3.0,,Malaysia,73.0,False,False
Beau Cacao,"Serian E., Nw Borneo, B. #134/3800",1948,2017,U.K.,3.25,,Malaysia,72.0,False,False
Beehive,"Brazil, Batch 20316",1784,2016,USA,2.75,,Brazil,80.0,False,False
Beehive,"Dominican Republic, Batch 31616",1784,2016,USA,2.75,,Dominican Republic,70.0,False,False
Beehive,"Ecuador, Batch 31516",1784,2016,USA,2.75,,Ecuador,70.0,False,False
Beehive,Ecuador,1788,2016,USA,2.75,,Ecuador,90.0,False,False
Belcolade,Costa Rica,586,2010,Belgium,2.75,,Costa Rica,64.0,False,False
Belcolade,Papua New Guinea,586,2010,Belgium,2.75,,Papua New Guinea,64.0,False,False
Belcolade,Peru,586,2010,Belgium,2.75,,Peru,64.0,False,False
Belcolade,Ecuador,586,2010,Belgium,3.5,,Ecuador,71.0,False,False
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,USA,3.5,"Criollo, Trinitario",Tanzania,70.0,False,False
Bellflower,"Alto Beni, Palos Blanco",1804,2016,USA,3.25,,Bolivia,70.0,False,False
Bellflower,"Oko Caribe, Duarte P.",1864,2016,USA,3.5,,Dominican Republic,70.0,False,False
Belyzium,"Belize South, Low Fermentation",1768,2016,Germany,2.75,Trinitario,Belize,83.0,False,False
Belyzium,Belize South,1768,2016,Germany,3.0,Trinitario,Belize,78.0,False,False
Belyzium,Belize South,1768,2016,Germany,3.5,Trinitario,Belize,83.0,False,False
Benoit Nihant,Baracoa,1141,2013,Belgium,3.5,Trinitario,Cuba,74.0,False,False
Benoit Nihant,Chuao,1141,2013,Belgium,3.5,Criollo,Venezuela,74.0,False,False
Benoit Nihant,Cuyagua Village,1141,2013,Belgium,3.5,Criollo,Venezuela,74.0,False,False
Benoit Nihant,Rio Peripa H.,1141,2013,Belgium,4.0,Trinitario,Ecuador,73.0,False,False
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62Hr C",757,2011,Belgium,4.0,Trinitario,Indonesia,72.0,False,False
Benoit Nihant,"Somia Plantation, Sambirano, 70Hr C",773,2011,Belgium,3.75,Trinitario,Madagascar,72.0,False,False
Bernachon,Nature,797,2012,France,2.75,,,55.0,False,False
Beschle (Felchlin),Madagascar,636,2011,Switzerland,3.0,Trinitario,Madagascar,64.0,False,False
Beschle (Felchlin),Maracaibo,636,2011,Switzerland,3.0,Criollo,Venezuela,88.0,False,False
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,Switzerland,3.5,,Venezuela,72.0,False,False
Beschle (Felchlin),Ecuador,636,2011,Switzerland,4.0,,Ecuador,72.0,False,False
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,Switzerland,3.25,Trinitario,Venezuela,70.0,False,False
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,Switzerland,3.25,Criollo (Porcelana),Venezuela,74.0,False,False
Beschle (Felchlin),"Java, Grand Cru",508,2010,Switzerland,3.5,,Indonesia,64.0,False,False
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,Switzerland,3.5,,Venezuela,72.0,False,False
Bisou,"Nicaragua, American Style",1482,2015,USA,2.5,,Nicaragua,76.0,False,False
Bisou,"San Andres, American Style",1486,2015,USA,2.5,,Costa Rica,76.0,False,False
Bisou,"San Andres, Silk",1486,2015,USA,2.5,,Costa Rica,78.0,False,False
Bisou,Belize,1486,2015,USA,3.25,Trinitario,Belize,86.0,False,False
Bittersweet Origins,Ghana,963,2012,USA,3.5,Forastero,Ghana,72.0,False,False
Bittersweet Origins,"Bali, Singaraja",478,2010,USA,3.25,,Indonesia,75.0,False,False
Bittersweet Origins,2009 Hapa Nibby,502,2010,USA,3.75,Blend,"Dominican Rep., Bali",70.0,False,False
Bittersweet Origins,"Bali, Singaraja",558,2010,USA,2.75,,Indonesia,65.0,False,False
Bittersweet Origins,"Sambirano, 2009",565,2010,USA,3.0,Trinitario,Madagascar,70.0,False,False
Bittersweet Origins,"Ocumare, Prototype",565,2010,USA,3.0,Criollo,Venezuela,78.0,False,False
Bittersweet Origins,Puerto Plata,414,2009,USA,3.0,,Dominican Republic,75.0,False,False
Bittersweet Origins,Puerto Plata,414,2009,USA,3.5,,Dominican Republic,65.0,False,False
Bittersweet Origins,Sambirano,423,2009,USA,3.25,Trinitario,Madagascar,75.0,False,False
Bittersweet Origins,Sambirano,431,2009,USA,3.5,Trinitario,Madagascar,65.0,False,False
Bittersweet Origins,Sambirano,233,2008,USA,3.0,Trinitario,Madagascar,71.0,False,False
Bittersweet Origins,Bocas Del Toro,233,2008,USA,3.5,,Panama,75.0,False,False
Bittersweet Origins,Puerto Plata,233,2008,USA,3.75,,Dominican Republic,68.0,False,False
Bittersweet Origins,Ankasa,256,2008,USA,3.0,Forastero,Ghana,70.0,False,False
Black Mountain,La Red,256,2008,USA,2.75,,Dominican Republic,70.0,False,False
Black Mountain,Carenero Superior,256,2008,USA,2.75,Trinitario,Venezuela,70.0,False,False
Black Mountain,Matiguas,256,2008,USA,3.0,,Nicaragua,70.0,False,False
Black River (A. Morin),Blue Mountain Region,1331,2014,U.K.,2.75,Trinitario,Jamaica,70.0,False,False
Blanxart,"Congo, Grand Cru",1046,2013,Spain,3.5,Forastero,Dr Congo,82.0,False,False
Blanxart,Organic Dark,322,2009,Spain,2.75,,,72.0,False,False
Blue Bandana,"Akesson'S E., Sambirano V.",1740,2016,USA,3.5,Trinitario,Madagascar,82.0,False,False
Blue Bandana,Lachua,1752,2016,USA,2.75,,Guatemala,75.0,False,False
Blue Bandana,Kokoa Kamili,1752,2016,USA,3.5,,Tanzania,75.0,False,False
Blue Bandana,Zorzal Reserva,1756,2016,USA,3.0,,Dominican Republic,75.0,False,False
Blue Bandana,Guatemala,911,2012,USA,3.5,,Guatemala,70.0,False,False
Blue Bandana,Madagascar,911,2012,USA,3.75,Trinitario,Madagascar,70.0,False,False
Bonnat,Selva Maya,1912,2016,France,3.5,,Mexico,75.0,False,False
Bonnat,Kaori,1339,2014,France,4.0,,Brazil,75.0,False,False
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,France,3.25,,Dominican Republic,75.0,False,False
Bonnat,Surfin,1418,2014,France,3.75,,"Venez,Africa,Brasil,Peru,Mex",65.0,False,False
Bonnat,Maragnam,1038,2013,France,3.5,,Brazil,75.0,False,False
Bonnat,Gabon,1042,2013,France,3.25,,Gabon,75.0,False,False
Bonnat,Cuba,629,2011,France,3.5,Trinitario,Cuba,75.0,False,False
Bonnat,"Cusco, Cacao Cusco",629,2011,France,3.5,,Peru,75.0,False,False
Bonnat,Piura Blanco,629,2011,France,3.5,Forastero (Nacional),Peru,75.0,False,False
Bonnat,Libanio,629,2011,France,3.75,,Brazil,75.0,False,False
Bonnat,Haiti,629,2011,France,4.0,,Haiti,75.0,False,False
Bonnat,"Madagascar, 100% Criollo",629,2011,France,4.0,Criollo,Madagascar,75.0,False,False
Bonnat,Juliana,672,2011,France,3.5,,Brazil,75.0,False,False
Bonnat,Jamaique,761,2011,France,3.25,Trinitario,Jamaica,75.0,False,False
Bonnat,Ivory Coast,331,2009,France,3.0,,Cote D Ivoire,75.0,False,False
Bonnat,"Porcelana, Apotequil",336,2009,France,2.75,Criollo,Peru,75.0,False,False
Bonnat,"Porcelana, Tabasco, Marfil De Blanco",336,2009,France,3.0,Criollo,Mexico,75.0,False,False
Bonnat,"Xoconusco, Cacao Real",395,2009,France,3.0,Criollo,Mexico,75.0,False,False
Bonnat,"Porcelana, Venezuela",199,2008,France,4.0,Criollo (Porcelana),Venezuela,75.0,False,False
Bonnat,Equateur,123,2007,France,2.5,Forastero (Arriba),Ecuador,75.0,False,False
Bonnat,Trinite,24,2006,France,3.75,Trinitario,Carribean,75.0,False,False
Bonnat,"Ocumare, Puerto Cabello",32,2006,France,4.0,,Venezuela,75.0,False,False
Bonnat,"Maracaibo, El Rosario",48,2006,France,4.0,Criollo,Venezuela,75.0,False,False
Bonnat,Madagascar,75,2006,France,4.0,Trinitario,Madagascar,75.0,False,False
Bonnat,One Hundred,81,2006,France,1.5,,,100.0,False,True
Bonnat,Ceylan,81,2006,France,3.0,,Sri Lanka,75.0,False,False
Bonnat,Chuao,81,2006,France,4.0,Trinitario,Venezuela,75.0,False,False
Bouga Cacao (Tulicorp),"El Oro, Hacienda De Oro",316,2009,Ecuador,3.25,Forastero (Arriba),Ecuador,77.0,False,False
Bouga Cacao (Tulicorp),"El Oro, Hacienda De Oro",341,2009,Ecuador,1.5,Forastero (Arriba),Ecuador,100.0,False,True
Bowler Man,Maya Mountain,1267,2014,USA,2.75,Trinitario,Belize,70.0,False,False
Bowler Man,Conacado,1271,2014,USA,2.75,,Dominican Republic,70.0,False,False
Brasstown Aka It'S Chocolate,"Guasare, Zulia Prov.",1868,2016,USA,3.5,Criollo,Venezuela,70.0,False,False
Brasstown Aka It'S Chocolate,"O'Payo, Waslala",1868,2016,USA,3.75,,Nicaragua,70.0,False,False
Brasstown Aka It'S Chocolate,Conacado,1462,2015,USA,3.75,,Dominican Republic,68.0,False,False
Brasstown Aka It'S Chocolate,Maya Mountain,1255,2014,USA,3.75,Trinitario,Belize,70.0,False,False
Brasstown Aka It'S Chocolate,Chuao,1355,2014,USA,4.0,Trinitario,Venezuela,70.0,False,False
Brasstown Aka It'S Chocolate,Cooproagro,1125,2013,USA,3.0,Trinitario,Dominican Republic,72.0,False,False
Brasstown Aka It'S Chocolate,"Camino Verde, Guayas",1125,2013,USA,3.25,,Ecuador,70.0,False,False
Brasstown Aka It'S Chocolate,Ghana,1129,2013,USA,3.5,Forastero,Ghana,75.0,False,False
Brasstown Aka It'S Chocolate,"Chuao, Mantuano Blend",1129,2013,USA,3.5,Trinitario,Venezuela,85.0,False,False
Brazen,Elvesia P.,1514,2015,USA,3.0,,Dominican Republic,60.0,False,False
Brazen,Elvesia P.,1514,2015,USA,3.25,,Dominican Republic,80.0,False,False
Brazen,"Alta Verapaz, 2014",1514,2015,USA,3.5,,Guatemala,70.0,False,False
Brazen,Ambolikapiky P.,1518,2015,USA,2.75,,Madagascar,80.0,False,False
Brazen,Maya Mountain,1518,2015,USA,3.25,Trinitario,Belize,80.0,False,False
Brazen,Ambolikapkly P.,1518,2015,USA,3.25,,Madagascar,60.0,False,False
Breeze Mill,Jamaica,1149,2013,USA,3.0,Trinitario,Jamaica,70.0,False,False
Bright,Somia Plantation,1231,2014,Australia,3.0,Trinitario,Madagascar,72.0,False,False
Bright,Marabel Farms,1231,2014,Australia,3.5,,Dominican Republic,70.0,False,False
Bright,"Camino Verde, Balao, Guayas",1231,2014,Australia,3.5,,Ecuador,72.0,False,False
Bright,Gran Couva,1235,2014,Australia,2.75,Trinitario,Trinidad,68.0,False,False
Britarev,Ecuador,1638,2015,Russia,3.25,,Ecuador,70.0,False,False
Bronx Grrl Chocolate,Dominican Republic,1181,2013,USA,2.75,,Dominican Republic,68.0,False,False
Burnt Fork Bend,Trinidad,1299,2014,USA,3.25,Trinitario,Trinidad,72.0,False,False
Burnt Fork Bend,Mindo,1299,2014,USA,3.5,,Ecuador,72.0,False,False
Burnt Fork Bend,Belize,1303,2014,USA,3.25,Trinitario,Belize,72.0,False,False
Burnt Fork Bend,Blend,1303,2014,USA,3.25,Blend,,72.0,False,False
Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,USA,2.5,,Ecuador,60.0,False,False
Cacao Arabuco,Puerto Rico,1606,2015,Puerto Rico,2.5,,Puerto Rico,70.0,False,False
Cacao Atlanta,Tumbes,1215,2014,USA,2.5,Criollo,Peru,75.0,False,False
Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,USA,2.5,,Dominican Republic,75.0,False,False
Cacao Atlanta,Dominican Republic W/ Nibs,502,2010,USA,2.75,,Dominican Republic,75.0,False,False
Cacao Atlanta,Patanemo,600,2010,USA,2.25,,Venezuela,75.0,False,False
Cacao Barry,Grand 'Anse,1716,2016,France,3.5,"Trinitario, Criollo",Haiti,65.0,False,False
Cacao Barry,Santo Domingo,586,2010,France,3.0,,Dominican Republic,70.0,False,False
Cacao Barry,Tanzania,300,2008,France,2.0,,Tanzania,75.0,False,False
Cacao Barry,Venezuela,141,2007,France,2.0,,Venezuela,72.0,False,False
Cacao Barry,Mexico,147,2007,France,3.0,,Mexico,66.0,False,False
Cacao De Origen,Chuao,1688,2015,Venezuela,3.5,Trinitario,Venezuela,77.0,False,False
Cacao De Origen,Rio Caribe,1692,2015,Venezuela,3.25,Trinitario,Venezuela,75.0,False,False
Cacao De Origen,Agua Fria; Sucre Region,1391,2014,Venezuela,2.5,,Venezuela,75.0,False,False
Cacao De Origen,Macuare; Miranda; Chloe Formula,1391,2014,Venezuela,3.25,,Venezuela,74.0,False,False
